link,text,user,date,is_retweet,comments,retweets,quotes,likes,images,video,gifs,topic
https://twitter.com/SenecaCiudad/status/1733801028120637819#m,"That’s the kid they use up the thread count on, making awareness to him, T-shirt wearing him.   But don’t think he deserves a leap frog cuz he is the only person who ever broke anything up to see how it talks. #tycoon #Potential",La Zionnessa’s Unreachable 🏴‍☠️,"Dec 10, 2023 · 10:49 AM UTC",False,1,0,0,0,,,,tycoon
https://twitter.com/ottawafamtree/status/1732623715794374700#m,2 Americans Charged With Murder Of #Canadian Software #Tycoon On Caribbean Island of #Dominica Where He Owned A Hotel …  https://www.barrons.com/news/two-americans-charged-with-murder-of-canadian-tycoon-in-caribbean-9a532300 via @BarronsOnline,Ottawa Family Tree,"Dec 7, 2023 · 4:50 AM UTC",False,0,0,0,0,,,,tycoon
https://twitter.com/KRMedulla/status/1732158796397416627#m,Been working on the database for my #KamenRiderGeats adaptation. Namely listing the Riders' forms and choosing names. Chose a good one for #Tycoon.,Bobby T,"Dec 5, 2023 · 10:03 PM UTC",False,0,0,0,0,,,https://video.twimg.com/tweet_video/GAndPhaX0AAjPaJ.mp4,tycoon
https://twitter.com/NewsTowerGame/status/1731705417154080819#m,The News Tower Closed Beta was an absolute rollercoaster of fun and feedback! 📰✨  THANK YOU 💝  Our amazing community didn't just play the game; they meme'd it...  Here's a 🧵  #indiegame #indiedev #tycoon #beta,News Tower 🗞 Indie tycoon,"Dec 4, 2023 · 4:01 PM UTC",False,4,8,1,22,,,,tycoon
https://twitter.com/MBBlack/status/1721021330043396350#m,"I, #MrMBBlack the #Impressionegro, earlier today saw #TheMogul @E40 at the @TotalWine store on #JeffersonBlvd by #SepulvedaBlvd and #SlausonAvenue in #CulverCity for his Signature #Wines🍷 - #E40 #EarlStevens #Wine🍷 #ECuarenta #KuiperBelt #Sluricane #Tycoon #GoonwithaSpoon🥄",Michael Blackmon #MrMBBlack,"Nov 5, 2023 · 4:27 AM UTC",False,0,0,0,2,https://pbs.twimg.com/media/F-JLvbUaoAAw_L6.jpg,,,tycoon
https://twitter.com/ZuriEverywhere/status/1662838014731583490#m,Up a Bill before noon   #Tycoon,🗺 i’ll be where im at 🛩,"May 28, 2023 · 3:07 PM UTC",False,0,0,0,0,,,,tycoon
https://twitter.com/doerksen_katie/status/1621030817056317440#m,When a 2 century custom Italian hat making+shaping family is your neighbor vendor at the #blackhillsstockshow. The answer is YES - you definitely want the hat. 🎩⭐️   #ponyup #tycoon #tacchino #hattrick #makeitcustom,Katie Doerksen,"Feb 2, 2023 · 6:20 AM UTC",False,0,0,0,1,https://pbs.twimg.com/media/Fn8O7xBX0AE9r9y.jpg,,,tycoon
https://twitter.com/GameTyrant/status/1617235656337510401#m,Meet The Antagonist In PARK BEYOND  https://gametyrant.com/news/meet-the-antagonist-in-park-beyond #GamingNews #ParkBeyond #Antagonist #Rival #ThemeParkBuilder #Tycoon #LimbicEntertainment @BandaiNamcoUS @ParkBeyondGame,GameTyrant,"Jan 22, 2023 · 7:00 PM UTC",False,0,1,0,1,,,,tycoon
https://twitter.com/3pmusic/status/1613646427489722370#m,My game @HorrorTycoon is currently in early access where you build a haunted house and try to scare your guests to death!   #EarlyAccess #pcgame #steam #tycoon #towerdefense,3P 🏳️‍🌈🐻🎮,"Jan 12, 2023 · 9:17 PM UTC",False,0,0,0,1,,,,tycoon
https://twitter.com/biztocnews/status/1592145078625001473#m,Jeff Bezos to give away most of his $124billion net worth to climate charities #climatecharities #sanchez #dollyparton #charities #tycoon #bezoscourageamp #trading #economics #financenews https://biztoc.com/p/4srtggcs?ref=twb&rd=1,BizToc News,"Nov 14, 2022 · 1:19 PM UTC",False,0,0,0,0,,,,tycoon
